name,nickname,f_name,l_name,wins,loses,ties,height,weight,reach,stance,dob,age,slpm,str_ac,sapm,str_def,td_avg,td_acc,td_def,sub_avg
Gilbert Yvel,The Hurricane,Gilbert,Yvel,39,16,1,74,225,77,Orthodox,"Jun 30, 1976",45,1.05,0.47,1.78,0.5,0.0,0.0,0.25,1.0
Virgil Zwicker,RezDog,Virgil,Zwicker,15,6,1,74,205,74,N/A,"Jun 26, 1982",39,3.34,0.48,4.87,0.39,1.31,0.3,0.5,0.0
Allan Zuniga,Tigre,Allan,Zuniga,13,1,0,67,155,70,Orthodox,"Apr 04, 1992",30,3.93,0.52,1.8,0.61,0.0,0.0,0.57,1.0
Xie Bin,The Stalker,Xie,Bin,8,3,0,70,145,72,Orthodox,"Feb 28, 1998",24,2.2,0.38,2.6,0.63,4.0,0.44,0.0,0.0
Darren Uyenoyama,BC,Darren,Uyenoyama,10,6,0,66,125,65,Orthodox,"Oct 15, 1979",42,1.34,0.39,2.21,0.66,1.42,0.33,0.35,0.7
Brad Pickett,One Punch,Brad,Pickett,25,14,0,66,135,68,Orthodox,"Sep 24, 1978",43,3.02,0.31,4.63,0.55,2.47,0.44,0.58,0.4
Kennedy Nzechukwu,African Savage,Kennedy,Nzechukwu,9,3,0,77,205,83,Southpaw,"Jun 13, 1992",29,5.13,0.44,4.9,0.51,0.0,0.0,0.8,0.0
Kamaru Usman,The Nigerian Nightmare,Kamaru,Usman,20,1,0,72,170,76,Switch,"May 11, 1987",34,4.66,0.52,2.59,0.58,3.0,0.49,1.0,0.1
Yoislandy Izquierdo,Cuba,Yoislandy,Izquierdo,10,4,0,71,155,N/A,Southpaw,"Jan 09, 1984",38,2.93,0.52,1.4,0.26,0.0,0.0,0.5,0.0
Kyle Noblitt,,Kyle,Noblitt,11,2,0,74,243,N/A,N/A,"Dec 26, 1989",32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Kyle,MAK,Mike,Kyle,22,14,1,76,205,77,Orthodox,"Mar 31, 1980",42,3.93,0.51,3.35,0.49,1.33,0.62,0.5,0.8
Tsuyoshi Kohsaka,TK,Tsuyoshi,Kohsaka,27,19,2,71,225,N/A,Orthodox,"Mar 06, 1970",52,1.88,0.38,4.41,0.54,1.32,0.2,0.33,0.4
Benji Radach,Razor,Benji,Radach,21,7,0,70,185,N/A,Orthodox,"Apr 05, 1979",43,2.62,0.49,2.31,0.51,1.06,0.41,0.71,0.4
Hiroshi Izumi,,Hiroshi,Izumi,4,2,0,N/A,205,N/A,Orthodox,"Jun 22, 1982",39,1.95,0.37,2.65,0.66,3.35,0.7,1.0,0.5
Derrick Lewis,The Black Beast,Derrick,Lewis,26,9,0,75,260,79,Orthodox,"Feb 07, 1985",37,2.56,0.5,2.51,0.41,0.6,0.28,0.55,0.0
Tim Sylvia,The Maine-iac,Tim,Sylvia,31,10,0,80,265,80,Orthodox,"Mar 05, 1976",46,4.23,0.41,2.61,0.61,0.11,1.0,0.75,0.1
John Lewis,,John,Lewis,3,4,3,72,155,N/A,Southpaw,N/A,N/A,0.0,0.0,4.0,0.66,0.0,0.0,0.0,0.0
Jarrod Kwitty,,Jarrod,Kwitty,2,2,0,68,185,N/A,N/A,N/A,N/A,0.53,0.5,4.4,0.32,8.0,0.5,0.0,2.0
Solomon Hutcherson,King,Solomon,Hutcherson,11,7,0,71,185,N/A,Southpaw,"Aug 31, 1972",49,2.59,0.39,2.59,0.64,3.53,1.0,0.0,0.0
Alex Hunter,,Alex,Hunter,2,0,0,69,226,N/A,Orthodox,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Hunter,Warhammer,Adam,Hunter,7,1,0,73,185,N/A,Orthodox,"Oct 16, 1983",38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Hurley,,Joe,Hurley,12,5,0,68,155,N/A,N/A,"Jun 24, 1978",43,1.12,0.45,3.35,0.56,0.0,0.0,0.2,0.0
