r_fighter,b_fighter,r_win,b_win,wei_class,method,round,time,t_format,ref,details,r_kd,b_kd,r_sigstr,b_sigstr,r_totstr,b_totstr,r_td,b_td,r_sub,b_sub,r_rev,b_rev,r_ctrl,b_ctrl,r_hstr,b_hstr,r_bstr,b_bstr,r_lstr,b_lstr,r_dis,b_dis,r_cli,b_cli,r_gro,b_gro
Istela Nunes,Sam Hughes,0,1,Women's Strawweight Bout,Decision - Majority,3,5:00,3 Rnd (5-5-5),Mark Smith,,0,0,0.39,0.42,0.39,0.59,0.0,0.4,0,0,0,0,0,206,0.3,0.4,0.59,0.6,1.0,0,0.38,0.38,0.83,0.57,0.5,0.68
Alatengheili,Kevin Croom,1,0,Bantamweight Bout,KO/TKO,1,0:47,3 Rnd (5-5-5),Chris Tognoni,Punches to Head At Distance,1,0,0.53,0.17,0.53,0.17,0.0,0.0,0,0,0,0,1,0,0.56,0.0,0.0,0.17,0,1.0,0.53,0.17,0,0,0.5,0
Jordan Leavitt,Trey Ogden,1,0,Lightweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Chris Tognoni,,0,0,0.66,0.46,0.73,0.71,0.0,0.25,0,2,0,1,317,122,0.29,0.22,0.44,0.79,0.88,0.53,0.68,0.44,0.0,1.0,0.0,1.0
Chris Barnett,Martin Buday,0,1,Heavyweight Bout,Decision - Unanimous,3,1:38,3 Rnd (5-5-5),Dan Miragliotta,,0,1,0.44,0.67,0.6,0.76,0.0,0.0,0,0,0,0,17,464,0.32,0.54,0.75,0.96,0.83,1.0,0.37,0.52,0.78,0.91,0,0.57
Mark De La Rosa,Raulian Paiva,0,1,Flyweight Bout,KO/TKO,2,4:42,3 Rnd (5-5-5),Robert Romero,Punch to Head At Distance,0,1,0.36,0.43,0.36,0.48,0.0,0.0,0,0,0,0,0,108,0.23,0.34,0.62,0.77,1.0,0.73,0.36,0.39,0.5,0.89,0,1.0
Priscila Cachoeira,Shana Dobson,1,0,Women's Flyweight Bout,KO/TKO,1,0:40,3 Rnd (5-5-5),Neil Swailes,Punch to Head At Distance,1,0,0.44,0.45,0.44,0.45,0.0,0.0,0,0,0,0,2,0,0.44,0.44,0,0.5,0,0,0.47,0.45,0,0,0.0,0
Kai Kara-France,Tyson Nam,1,0,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,,0,0,0.3,0.33,0.3,0.34,0.0,0.0,0,0,0,0,17,53,0.23,0.26,0.53,0.65,0.82,1.0,0.29,0.33,0.56,0.29,0.5,0
Loma Lookboonmee,Angela Hill,0,1,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John Sharp,,0,0,0.41,0.38,0.44,0.43,1.0,0.25,0,1,0,0,95,192,0.29,0.38,0.52,0.36,0.78,0.67,0.37,0.34,0.71,0.45,0.0,0.6
Batgerel Danaa,Guido Cannetti,1,0,Bantamweight Bout,KO/TKO,1,3:01,3 Rnd (5-5-5),Chris Tognoni,Punch to Head At Distance,1,0,0.52,0.48,0.52,0.48,0.0,0.0,0,0,0,0,3,0,0.55,0.0,0.0,0.5,0.5,0.8,0.44,0.43,0.0,1.0,1.0,0
Callan Potter,Song Kenan,0,1,Welterweight Bout,KO/TKO,1,2:20,3 Rnd (5-5-5),Neil Swailes,Punch to Head At Distance,0,1,0.47,0.49,0.47,0.53,1.0,0.0,0,0,0,0,3,7,0.43,0.41,1.0,0.83,0,0,0.42,0.48,0.67,0.4,0,1.0
Mark Madsen,Austin Hubbard,1,0,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,,0,0,0.26,0.55,0.31,0.57,0.66,0.0,0,0,0,0,481,0,0.25,0.52,0,0.57,1.0,0.62,0.12,0.55,0.6,0.5,0.64,0
Gerald Meerschaert,Deron Winn,1,0,Middleweight Bout,Submission,3,2:13,3 Rnd (5-5-5),Keith Peterson,Rear Naked Choke,1,0,0.46,0.48,0.46,0.48,1.0,0.5,1,0,0,0,21,11,0.4,0.4,0.95,0.85,0,1.0,0.46,0.46,0.5,0.75,0,0
Giga Chikadze,Jamall Emmers,1,0,Featherweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Mark Smith,,0,0,0.31,0.43,0.32,0.44,0.0,0.33,0,0,1,0,20,123,0.22,0.34,0.43,0.65,0.82,0.7,0.31,0.41,0.0,0.6,1.0,0.75
Ryan Spann,Sam Alvey,1,0,Light Heavyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,,0,0,0.44,0.53,0.45,0.66,0.28,0.0,1,0,0,0,181,29,0.4,0.44,0.77,1.0,0,0.93,0.44,0.49,0.5,0.79,0,0
Sean O'Malley,Jose Quinonez,1,0,Bantamweight Bout,KO/TKO,1,2:02,3 Rnd (5-5-5),Dan Miragliotta,Punches to Head On Ground,0,0,0.82,0.0,0.82,0.0,0.0,0.0,0,0,0,0,2,0,0.82,0.0,0.86,0.0,0.75,0.0,0.76,0.0,0,0,1.0,0
Jack Shore,Aaron Phillips,1,0,Bantamweight Bout,Submission,2,2:29,3 Rnd (5-5-5),Herb Dean,Rear Naked Choke,0,0,0.64,0.4,0.71,0.44,0.37,0.0,1,0,0,0,325,5,0.59,0.11,0.83,0.83,0.71,0,0.5,0.36,1.0,1.0,0.64,0
Scott Morris,Sean Daugherty,1,0,Open Weight Bout,Submission,1,0:20,No Time Limit,John McCarthy,Guillotine Choke From Mount,0,0,1.0,0.0,1.0,0.2,1.0,0.0,1,0,0,0,0,0,1.0,0.0,0,0,0,0.0,0,0.0,1.0,0.0,0,0
Alex Oliveira,Max Griffin,1,0,Welterweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Mark Smith,,0,0,0.52,0.46,0.62,0.65,0.2,0.66,0,0,0,1,210,333,0.38,0.42,0.85,0.5,1.0,1.0,0.52,0.43,0.38,1.0,1.0,0
Neil Magny,Li Jingliang,1,0,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,,0,0,0.53,0.26,0.65,0.25,0.57,0.66,0,0,0,0,306,219,0.47,0.22,0.8,0.33,1.0,0.44,0.35,0.25,0.9,0.33,0.96,0
Patrick Smith,Ray Wizard,1,0,Open Weight Bout,Submission,1,0:58,No Time Limit,John McCarthy,Guillotine Choke Standing,0,0,1.0,1.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,1.0,0,0,1.0,0,1.0,1.0,0,0,0
Remco Pardoel,Alberta Cerra Leon,1,0,Open Weight Bout,Submission,1,9:51,No Time Limit,John McCarthy,Ezekiel Choke From Side Control,0,0,0.67,0.33,0.91,0.82,1.0,0.0,1,0,0,0,0,0,0.8,0.33,0,0,0.0,0,0.0,1.0,0,0,0.8,0.0
Rodolfo Vieira,Saparbeg Safarov,1,0,Middleweight Bout,Submission,1,2:58,3 Rnd (5-5-5),Jason Herzog,Arm Triangle From Mount,0,0,0.5,0.5,0.67,0.58,1.0,0.0,1,0,0,0,114,0,0.5,0.29,0,1.0,0,1.0,0.0,0.5,0,0,0.71,0
Martin Day,Davey Grant,0,1,Bantamweight Bout,KO/TKO,3,2:38,3 Rnd (5-5-5),Rich Mitchell,Punch to Head At Distance,1,1,0.39,0.42,0.41,0.46,0.0,0.5,0,1,1,0,88,128,0.34,0.33,0.62,0.79,0.67,0.89,0.39,0.41,0,0.67,0.4,0.6
Johnny Rhodes,David Levicki,1,0,Open Weight Bout,KO/TKO,1,12:13,No Time Limit,John McCarthy,"Punches to Head From Guard
      Submission to Strikes",0,0,0.65,0.8,0.86,0.93,1.0,0.0,0,0,0,0,0,0,0.6,0.8,1.0,0,1.0,0,1.0,0.5,1.0,1.0,0.6,1.0
Orlando Wiet,Robert Lucarelli,1,0,Open Weight Bout,KO/TKO,1,2:50,No Time Limit,John McCarthy,"to    
      Corner Stoppage",0,0,0.67,0.33,0.73,0.33,0.0,1.0,0,1,0,0,0,0,0.64,0.5,1.0,0.0,0,0.33,0.33,0.33,0,0,0.78,0
Frank Hamaker,Thaddeus Luster,1,0,Open Weight Bout,Submission,1,4:52,No Time Limit,John McCarthy,Keylock From Half Guard,0,0,0.67,0,0.93,0,1.0,0.0,3,0,1,0,0,0,0.67,0,0,0,0,0,1.0,0,0,0,0.5,0
Remco Pardoel,Orlando Wiet,1,0,Open Weight Bout,KO/TKO,1,1:29,No Time Limit,John McCarthy,Elbows to Head From Side Control,0,0,1.0,0.5,1.0,0.71,1.0,0.0,0,0,0,0,0,0,1.0,0.0,0,0,0,1.0,0,0.5,0,0,1.0,0
Patrick Smith,Scott Morris,1,0,Open Weight Bout,KO/TKO,1,0:30,No Time Limit,John McCarthy,Elbows to Head From Mount,0,0,0.76,0,0.76,0,0.0,0.0,0,0,0,0,0,0,0.75,0,1.0,0,0,0,0,0,1.0,0,0.75,0
Jason DeLucia,Scott Baker,1,0,Open Weight Bout,Submission,1,6:41,No Time Limit,John McCarthy,Triangle Choke From Mount,0,0,0.6,0.0,0.8,0.61,0.0,1.0,5,0,4,2,0,0,0.5,0.0,0.5,0,1.0,0,0.5,0.0,0,0,1.0,0
Johnny Rhodes,Fred Ettish,1,0,Open Weight Bout,Submission,1,3:07,No Time Limit,John McCarthy,Bulldog Choke On Ground,1,0,0.45,0.57,0.55,0.64,0.0,0.0,1,0,0,0,0,0,0.43,0.0,0,0.5,1.0,1.0,0.5,0.57,0.5,0,0.43,0
Patrick Smith,Johnny Rhodes,1,0,Open Weight Bout,Submission,1,1:07,No Time Limit,John McCarthy,Guillotine Choke Standing,0,0,0.42,0.44,0.42,0.44,0.0,0.0,1,0,0,0,0,0,0.25,0.4,1.0,0,0.33,0.5,0.3,0.44,1.0,0,0,0
Royce Gracie,Jason DeLucia,1,0,Open Weight Bout,Submission,1,1:07,No Time Limit,John McCarthy,Armbar From Mount,0,0,0,0,0,0,0.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Royce Gracie,Remco Pardoel,1,0,Open Weight Bout,Submission,1,1:31,No Time Limit,John McCarthy,Gi Choke From Back Control,0,0,0,0,0,0,0.5,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Royce Gracie,Minoki Ichihara,1,0,Open Weight Bout,Submission,1,5:08,No Time Limit,John McCarthy,Armbar On Ground,0,0,0.5,0.43,0.96,0.75,1.0,0.0,2,0,0,0,0,0,0,0.5,0,0,0.5,0.0,0.5,0.0,0,0,0,0.6
Royce Gracie,Patrick Smith,1,0,UFC 2 Tournament Title Bout,KO/TKO,1,1:17,No Time Limit,John McCarthy,"Punches to Head From Mount
      Submission to Strikes",0,0,1.0,0.5,1.0,0.67,0.5,0.0,0,0,0,0,0,0,1.0,0,0,0.5,1.0,0,0,0.0,1.0,1.0,1.0,0
