fighter_1,fighter_2,date,bout,location
Caio Borralho,Armen Petrosyan,"July 09, 2022",Middleweight Bout,"Las Vegas, Nevada, USA"
Muhammad Mokaev,Charles Johnson,"July 23, 2022",Flyweight Bout,"London, England, United Kingdom"
Jack Hermansson,Darren Till,"July 23, 2022",Middleweight Bout,"London, England, United Kingdom"
Curtis Blaydes,Tom Aspinall,"July 23, 2022",Heavyweight Bout,"London, England, United Kingdom"
Molly McCann,Hannah Goldy,"July 23, 2022",Women's Flyweight Bout,"London, England, United Kingdom"
Nick Maximov,Andre Petroski,"May 14, 2022",Middleweight Bout,"Las Vegas, Nevada, USA"
Eryk Anders,Junyong Park,"May 21, 2022",Middleweight Bout,"Las Vegas, Nevada, USA"
Holly Holm,Ketlen Vieira,"May 21, 2022",Women's Bantamweight Bout,"Las Vegas, Nevada, USA"
Santiago Ponzinibbio,Michel Pereira,"May 21, 2022",Welterweight Bout,"Las Vegas, Nevada, USA"
Virna Jandiroba,Angela Hill,"May 14, 2022",Women's Strawweight Bout,"Las Vegas, Nevada, USA"
Tatsuro Taira,Carlos Candelario,"May 14, 2022",Flyweight Bout,"Las Vegas, Nevada, USA"
Michael Johnson,Alan Patrick,"May 14, 2022",Lightweight Bout,"Las Vegas, Nevada, USA"
Viviane Araujo,Andrea Lee,"May 14, 2022",Women's Flyweight Bout,"Las Vegas, Nevada, USA"
Jake Hadley,Allan Nascimento,"May 14, 2022",Flyweight Bout,"Las Vegas, Nevada, USA"
Frank Camacho,Manuel Torres,"May 14, 2022",Lightweight Bout,"Las Vegas, Nevada, USA"
Ramona Pascual,Joselyne Edwards,"June 11, 2022",Women's Bantamweight Bout,"Kallang, Singapore"
Julian Marquez,Gregory Rodrigues,"June 18, 2022",Middleweight Bout,"Austin, Texas, USA"
Phil Hawes,Deron Winn,"June 18, 2022",Middleweight Bout,"Austin, Texas, USA"
Maria Oliveira,Gloria de Paula,"June 18, 2022",Women's Strawweight Bout,"Austin, Texas, USA"
Eddie Wineland,Cody Stamann,"June 18, 2022",Bantamweight Bout,"Austin, Texas, USA"
Jasmine Jasudavicius,Natalia Silva,"June 18, 2022",Women's Flyweight Bout,"Austin, Texas, USA"
Joaquin Buckley,Albert Duraev,"June 18, 2022",Middleweight Bout,"Austin, Texas, USA"
Roman Dolidze,Kyle Daukaus,"June 18, 2022",Middleweight Bout,"Austin, Texas, USA"
Calvin Kattar,Josh Emmett,"June 18, 2022",Featherweight Bout,"Austin, Texas, USA"
Damir Ismagulov,Guram Kutateladze,"June 18, 2022",Lightweight Bout,"Austin, Texas, USA"
Court McGee,Jeremiah Wells,"June 18, 2022",Welterweight Bout,"Austin, Texas, USA"
Tim Means,Kevin Holland,"June 18, 2022",Welterweight Bout,"Austin, Texas, USA"
Jack Della Maddalena,Ramazan Emeev,"June 11, 2022",Welterweight Bout,"Kallang, Singapore"
Orion Cosce,Blood Diamond,"June 11, 2022",Welterweight Bout,"Kallang, Singapore"
Na Liang,Silvana Gomez Juarez,"June 11, 2022",Women's Strawweight Bout,"Kallang, Singapore"
Brendan Allen,Jacob Malkoun,"June 11, 2022",Middleweight Bout,"Kallang, Singapore"
Kyung Ho Kang,Batgerel Danaa,"June 11, 2022",Bantamweight Bout,"Kallang, Singapore"
SeungWoo Choi,Josh Culibao,"June 11, 2022",Featherweight Bout,"Kallang, Singapore"
Rogerio Bontorin,Manel Kape,"June 11, 2022",Flyweight Bout,"Kallang, Singapore"
Jessica-Rose Clark,Julija Stoliarenko,"July 02, 2022",Women's Bantamweight Bout,"Las Vegas, Nevada, USA"
Zhang Weili,Joanna Jedrzejczyk,"June 11, 2022",Women's Strawweight Bout,"Kallang, Singapore"
Valentina Shevchenko,Taila Santos,"June 11, 2022",UFC Women's Flyweight Title Bout,"Kallang, Singapore"
Brad Tavares,Dricus Du Plessis,"July 02, 2022",Middleweight Bout,"Las Vegas, Nevada, USA"
Pedro Munhoz,Sean O'Malley,"July 02, 2022",Bantamweight Bout,"Las Vegas, Nevada, USA"
Uriah Hall,Andre Muniz,"July 02, 2022",Middleweight Bout,"Las Vegas, Nevada, USA"
Sean Strickland,Alex Pereira,"July 02, 2022",Middleweight Bout,"Las Vegas, Nevada, USA"
Robbie Lawler,Bryan Barberena,"July 02, 2022",Welterweight Bout,"Las Vegas, Nevada, USA"
Glover Teixeira,Jiri Prochazka,"June 11, 2022",UFC Light Heavyweight Title Bout,"Kallang, Singapore"
Alexander Volkanovski,Max Holloway,"July 02, 2022",UFC Featherweight Title Bout,"Las Vegas, Nevada, USA"
Ryan Spann,Ion Cutelaba,"May 14, 2022",Light Heavyweight Bout,"Las Vegas, Nevada, USA"
Lauren Murphy,Miesha Tate,"July 02, 2022",Women's Flyweight Bout,"Las Vegas, Nevada, USA"
Israel Adesanya,Jared Cannonier,"July 02, 2022",UFC Middleweight Title Bout,"Las Vegas, Nevada, USA"
Jessica Eye,Maycee Barber,"July 02, 2022",Women's Flyweight Bout,"Las Vegas, Nevada, USA"
Davey Grant,Louis Smolka,"May 14, 2022",Bantamweight Bout,"Las Vegas, Nevada, USA"
Alexander Volkov,Jairzinho Rozenstruik,"June 04, 2022",Heavyweight Bout,"Las Vegas, Nevada, USA"
Katlyn Chookagian,Amanda Ribas,"May 14, 2022",Women's Flyweight Bout,"Las Vegas, Nevada, USA"
Jan Blachowicz,Aleksandar Rakic,"May 14, 2022",Light Heavyweight Bout,"Las Vegas, Nevada, USA"
